                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.59166,                0.47673,                0.88701,                0.76449,                0.80319,                 0.8474,                0.64807,                0.89413,                 0.7468,                0.96983,             0.00019407,             0.00019407,             0.00019407
                     56,                0.58567,                0.47113,                0.88165,                0.78023,                0.77796,                 0.8347,                0.64168,                0.89126,                0.78619,                0.97396,             0.00018994,             0.00018994,             0.00018994
                     57,                0.57821,                0.46768,                0.88041,                0.78121,                0.78609,                0.84942,                0.65308,                0.88594,                0.76615,                0.97267,             0.00018582,             0.00018582,             0.00018582
                     58,                0.58095,                0.46882,                0.88065,                0.81417,                0.74935,                0.84109,                0.64386,                0.88804,                0.76757,                0.96714,             0.00018169,             0.00018169,             0.00018169
                     59,                0.58527,                0.47089,                0.88409,                0.78962,                 0.7686,                0.83711,                0.64253,                0.88967,                0.76533,                0.96833,             0.00017756,             0.00017756,             0.00017756
                     60,                0.57562,                0.45846,                0.87898,                0.80307,                0.75203,                0.83861,                0.64204,                0.88983,                0.77724,                0.97111,             0.00017343,             0.00017343,             0.00017343
                     61,                0.58359,                0.45695,                 0.8805,                0.77712,                0.79552,                0.84627,                0.65126,                0.88398,                 0.7598,                0.96587,              0.0001693,              0.0001693,              0.0001693
                     62,                0.57797,                0.45789,                0.88304,                0.80841,                0.77118,                0.84351,                0.64602,                0.88278,                0.76732,                0.96735,             0.00016517,             0.00016517,             0.00016517
                     63,                0.57274,                0.45428,                0.87919,                0.79602,                0.79062,                0.85426,                0.65315,                0.88217,                0.75556,                0.96915,             0.00016105,             0.00016105,             0.00016105
                     64,                0.57351,                0.45815,                0.88093,                0.80336,                0.76272,                0.84811,                0.64894,                0.88526,                0.74536,                0.96631,             0.00015692,             0.00015692,             0.00015692
                     65,                0.57081,                0.44728,                0.87827,                0.77878,                0.78231,                 0.8437,                0.64859,                0.88827,                0.75024,                0.97045,             0.00015279,             0.00015279,             0.00015279
                     66,                0.57606,                0.45125,                0.87847,                0.77076,                0.79804,                0.84762,                0.65323,                0.88064,                0.74808,                0.96602,             0.00014866,             0.00014866,             0.00014866
                     67,                0.57063,                0.44948,                0.87946,                0.79503,                0.77154,                 0.8477,                0.65355,                0.88193,                 0.7563,                 0.9651,             0.00014453,             0.00014453,             0.00014453
                     68,                0.56914,                0.44918,                0.87645,                0.79041,                0.78747,                0.85152,                0.65713,                0.87779,                 0.7485,                0.96684,              0.0001404,              0.0001404,              0.0001404
                     69,                0.56988,                0.44995,                0.87895,                0.80578,                0.76833,                0.84656,                0.65343,                0.87636,                0.74092,                0.96535,             0.00013628,             0.00013628,             0.00013628
                     70,                 0.5702,                 0.4454,                0.88033,                0.81354,                0.77726,                0.85554,                0.65779,                0.88656,                0.72895,                 0.9694,             0.00013215,             0.00013215,             0.00013215
                     71,                 0.5631,                0.43852,                0.87654,                 0.8084,                0.77825,                0.85709,                0.66242,                 0.8781,                0.73153,                0.96315,             0.00012802,             0.00012802,             0.00012802
                     72,                0.56221,                0.43597,                0.87557,                0.80561,                0.78945,                0.85873,                0.66161,                0.88521,                0.71911,                0.96692,             0.00012389,             0.00012389,             0.00012389
                     73,                0.55854,                0.43493,                0.87645,                 0.8145,                0.78659,                0.86295,                0.66332,                0.88355,                0.72762,                0.96876,             0.00011976,             0.00011976,             0.00011976
                     74,                0.56547,                0.44162,                0.87721,                0.83981,                0.77209,                0.85927,                0.66234,                0.87738,                0.74514,                0.96657,             0.00011563,             0.00011563,             0.00011563
                     75,                0.55659,                0.42924,                0.87408,                0.82017,                0.78122,                  0.862,                0.66403,                0.88289,                0.72674,                0.96672,             0.00011151,             0.00011151,             0.00011151
                     76,                0.55493,                0.42422,                0.87116,                  0.783,                0.81973,                0.86201,                0.66359,                0.87832,                0.72219,                0.96623,             0.00010738,             0.00010738,             0.00010738
                     77,                0.55451,                0.42877,                0.87333,                0.81391,                0.78374,                0.85955,                 0.6639,                0.88043,                0.74756,                0.96548,             0.00010325,             0.00010325,             0.00010325
                     78,                0.55275,                0.43414,                0.87547,                0.81004,                0.81173,                0.86576,                0.66811,                0.87905,                 0.7088,                0.96387,             9.9121e-05,             9.9121e-05,             9.9121e-05
                     79,                0.54805,                0.41914,                0.87215,                0.83727,                0.79111,                0.86947,                0.66884,                0.87919,                0.70853,                0.96876,             9.4993e-05,             9.4993e-05,             9.4993e-05
                     80,                0.55126,                0.42926,                0.87388,                0.79363,                0.80186,                0.86305,                0.66565,                0.87872,                0.70869,                0.96455,             9.0864e-05,             9.0864e-05,             9.0864e-05
                     81,                0.55608,                0.43149,                0.87592,                0.81504,                0.80556,                0.86768,                0.67093,                0.87531,                0.70844,                0.96583,             8.6736e-05,             8.6736e-05,             8.6736e-05
