                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.78936,                 0.4854,                0.95471,                0.94956,                0.92928,                0.96621,                0.78297,                0.75601,                0.43278,                0.94222,             0.00018169,             0.00018169,             0.00018169
                     59,                0.78634,                 0.4882,                0.95665,                0.95353,                0.93201,                 0.9745,                 0.7933,                0.75106,                 0.4209,                0.93896,             0.00017756,             0.00017756,             0.00017756
                     60,                0.78552,                 0.4836,                 0.9532,                0.93825,                0.92147,                0.96172,                0.78487,                0.75482,                0.44656,                0.94082,             0.00017343,             0.00017343,             0.00017343
                     61,                0.78414,                0.46799,                0.94855,                0.93975,                0.92625,                0.96571,                0.78489,                0.75989,                 0.4446,                0.94336,              0.0001693,              0.0001693,              0.0001693
                     62,                0.78089,                0.47849,                0.95289,                0.95287,                0.93478,                0.97077,                0.79078,                0.75404,                0.41957,                0.93692,             0.00016517,             0.00016517,             0.00016517
                     63,                0.77365,                0.46875,                0.94596,                0.94111,                0.92521,                0.96547,                0.78408,                0.75521,                0.43318,                0.94015,             0.00016105,             0.00016105,             0.00016105
                     64,                 0.7754,                0.47408,                 0.9493,                0.95481,                 0.9237,                 0.9668,                 0.7914,                  0.747,                 0.4193,                0.94082,             0.00015692,             0.00015692,             0.00015692
                     65,                0.77725,                 0.4658,                0.94786,                 0.9588,                0.93012,                0.96693,                0.78867,                0.75299,                0.41874,                0.94158,             0.00015279,             0.00015279,             0.00015279
                     66,                0.77333,                0.45596,                0.94926,                0.94743,                0.93148,                0.96889,                0.78949,                0.74835,                0.42468,                0.93641,             0.00014866,             0.00014866,             0.00014866
                     67,                0.77161,                0.46047,                0.94934,                 0.9363,                0.94179,                0.96774,                0.79287,                0.74565,                0.41372,                0.93848,             0.00014453,             0.00014453,             0.00014453
                     68,                0.77066,                0.45916,                0.94636,                0.95567,                0.93509,                0.97001,                0.79132,                0.75431,                0.41141,                0.94123,              0.0001404,              0.0001404,              0.0001404
                     69,                 0.7651,                0.45482,                0.94593,                0.96723,                0.92973,                0.97115,                 0.7943,                0.74823,                  0.421,                0.93688,             0.00013628,             0.00013628,             0.00013628
                     70,                0.76591,                0.45414,                0.94611,                0.94506,                0.93662,                0.97386,                0.79661,                0.74592,                0.41095,                0.93489,             0.00013215,             0.00013215,             0.00013215
                     71,                0.76155,                0.45133,                0.94384,                0.96069,                0.93346,                0.97323,                0.79826,                0.74292,                0.40717,                0.93582,             0.00012802,             0.00012802,             0.00012802
                     72,                0.75796,                0.44552,                0.94368,                0.95718,                0.93783,                0.97068,                0.79488,                0.74663,                0.40361,                 0.9366,             0.00012389,             0.00012389,             0.00012389
                     73,                0.75757,                 0.4505,                0.94585,                0.95869,                0.92482,                0.97343,                0.79686,                0.74533,                0.40718,                0.93665,             0.00011976,             0.00011976,             0.00011976
                     74,                0.75571,                0.44592,                0.93785,                0.95287,                0.93912,                0.97556,                0.79857,                0.74506,                0.40354,                0.93556,             0.00011563,             0.00011563,             0.00011563
                     75,                 0.7562,                0.44394,                0.94121,                0.95932,                0.93436,                0.96865,                0.79293,                 0.7464,                0.40557,                0.93449,             0.00011151,             0.00011151,             0.00011151
                     76,                0.75348,                0.43617,                  0.938,                0.96769,                0.93334,                0.97347,                 0.7987,                0.74592,                0.39522,                 0.9368,             0.00010738,             0.00010738,             0.00010738
                     77,                0.75021,                0.43681,                0.93621,                0.96303,                0.93422,                0.97244,                0.79703,                0.74243,                 0.3986,                0.93584,             0.00010325,             0.00010325,             0.00010325
                     78,                0.74883,                0.43572,                0.94003,                 0.9572,                0.94649,                 0.9746,                0.80039,                0.74211,                0.39785,                0.93514,             9.9121e-05,             9.9121e-05,             9.9121e-05
                     79,                0.74551,                0.42725,                0.93997,                0.95591,                0.93094,                0.97041,                0.79553,                0.74235,                0.40634,                 0.9342,             9.4993e-05,             9.4993e-05,             9.4993e-05
                     80,                0.74919,                0.43471,                0.93946,                0.95319,                0.94331,                0.96824,                0.79262,                0.74357,                0.40554,                0.93351,             9.0864e-05,             9.0864e-05,             9.0864e-05
                     81,                0.73887,                0.42623,                0.93412,                 0.9542,                0.93912,                0.97253,                0.79847,                 0.7404,                0.39399,                0.93144,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     82,                0.73502,                0.42143,                 0.9355,                0.95658,                0.94307,                0.97398,                0.80196,                0.73939,                0.39377,                0.93441,             8.2608e-05,             8.2608e-05,             8.2608e-05
                     83,                0.74345,                0.42843,                0.93685,                0.95951,                0.93493,                  0.973,                0.79826,                 0.7418,                0.39561,                0.93622,             7.8479e-05,             7.8479e-05,             7.8479e-05
                     84,                0.73548,                0.41717,                0.93266,                0.96313,                0.93655,                0.97166,                0.79921,                0.74113,                0.39224,                0.93376,             7.4351e-05,             7.4351e-05,             7.4351e-05
                     85,                0.73567,                0.41903,                0.93497,                0.95788,                0.94861,                0.97083,                 0.7992,                0.74253,                0.39181,                0.93493,             7.0223e-05,             7.0223e-05,             7.0223e-05
                     86,                0.73574,                0.41833,                0.93258,                0.95507,                 0.9323,                0.97139,                 0.7987,                0.74251,                0.39138,                0.93555,             6.6095e-05,             6.6095e-05,             6.6095e-05
                     87,                0.73164,                0.41596,                0.92933,                0.95247,                0.94062,                0.97449,                0.79996,                0.73879,                0.39195,                0.93394,             6.1966e-05,             6.1966e-05,             6.1966e-05
                     88,                 0.7326,                0.41555,                0.93275,                0.95443,                0.94526,                0.97344,                0.80429,                0.73626,                 0.3898,                0.93255,             5.7838e-05,             5.7838e-05,             5.7838e-05
                     89,                0.72982,                0.41641,                0.93173,                0.94898,                0.94019,                0.96975,                0.79746,                 0.7405,                0.39846,                0.93523,              5.371e-05,              5.371e-05,              5.371e-05
